sep=;
"Time";"10.1.93.187:9302";"10.1.93.187:9303"
"2019-01-21T17:28:30-05:00";0.222;0.178
"2019-01-21T17:29:00-05:00";0.178;0.2
"2019-01-21T17:29:30-05:00";0.422;0.2
"2019-01-21T17:30:00-05:00";0.378;0.244
"2019-01-21T17:30:30-05:00";0.333;0.156
