sep=;
"Time";"Host atacante";"Host cliente";"Host servidor"
"2019-01-21T17:29:00-05:00";936;936;936
"2019-01-21T17:29:30-05:00";2,238;586;2,238
"2019-01-21T17:30:00-05:00";8,160;726;8,160
"2019-01-21T17:30:30-05:00";10,022;726;10,022
