sep=;
"Time";"faucet";"gauge"
"2019-01-23T02:21:30-05:00";null;null
"2019-01-23T02:22:00-05:00";null;null
"2019-01-23T02:22:30-05:00";0.137;0.027
"2019-01-23T02:23:00-05:00";0.289;0.089
"2019-01-23T02:23:30-05:00";0.111;0.111
"2019-01-23T02:24:00-05:00";0.267;0.089
"2019-01-23T02:24:30-05:00";0.178;0.111
