sep=;
"Time";"Eventos Packet In";"Eventos Packet In ignorados";"Mensajes FlowMod"
"2019-01-23T02:21:45-05:00";null;null;null
"2019-01-23T02:22:00-05:00";0;0;0
"2019-01-23T02:22:15-05:00";0;0;0
"2019-01-23T02:22:30-05:00";0;0;0
"2019-01-23T02:22:45-05:00";3;0;30
"2019-01-23T02:23:00-05:00";3;0;30
"2019-01-23T02:23:15-05:00";3;0;30
"2019-01-23T02:23:30-05:00";3;0;30
"2019-01-23T02:23:45-05:00";3;0;48
"2019-01-23T02:24:00-05:00";3;0;48
"2019-01-23T02:24:15-05:00";3;0;48
