sep=;
"Time";"sw1 port h1 (atacante) in";"sw1 port h2 (cliente) in";"sw1 port h3 (servidor) in";"sw1 port h1 (atacante) out";"sw1 port h2 (cliente) out";"sw1 port h3 (servidor) out"
"2019-01-23T02:22:00-05:00";null;null;null;null;null;null
"2019-01-23T02:22:30-05:00";null;null;null;null;null;null
"2019-01-23T02:23:00-05:00";null;null;null;null;null;null
"2019-01-23T02:23:30-05:00";101,782.742;0.038;468.09;-468.127;-468.127;-101,782.78
"2019-01-23T02:24:00-05:00";178,635.978;0.022;831.867;-831.933;-831.933;-178,636.044
"2019-01-23T02:24:30-05:00";0;0;0;0;0;0
