sep=;
"Time";"sw1 port h1 (atacante) in";"sw1 port h2 (cliente) in";"sw1 port h3 (servidor) in";"sw1 port h1 (atacante) out";"sw1 port h2 (cliente) out";"sw1 port h3 (servidor) out"
"2019-01-22T12:33:30-05:00";null;null;null;null;null;null
"2019-01-22T12:34:00-05:00";null;null;null;null;null;null
"2019-01-22T12:34:30-05:00";null;null;null;null;null;null
"2019-01-22T12:35:00-05:00";null;null;null;null;null;null
"2019-01-22T12:35:30-05:00";8,480.191;0.177;3,305.153;-3,305.853;-0.885;-8,480.912
"2019-01-22T12:36:00-05:00";0.022;0.022;0.022;-0.089;-0.089;-0.089
"2019-01-22T12:36:30-05:00";0;0;0;0;0;0
