sep=;
"Time";"faucet";"gauge"
"2019-01-22T12:34:00-05:00";0.133;0.067
"2019-01-22T12:34:30-05:00";0.156;0.044
"2019-01-22T12:35:00-05:00";0.311;0.222
"2019-01-22T12:35:30-05:00";0.222;0.178
"2019-01-22T12:36:00-05:00";0.311;0.133
"2019-01-22T12:36:30-05:00";0.133;0.089
