sep=;
"Time";"sw1 port h1 (atacante) in";"sw1 port h2 (cliente) in";"sw1 port h3 (servidor) in"
"2019-01-23T01:46:00-05:00";0;0;0
"2019-01-23T01:46:30-05:00";0;0;0
