sep=;
"Time";"sw1 port h1 (atacante) in";"sw1 port h2 (cliente) in";"sw1 port h3 (servidor) in";"sw1 port h1 (atacante) out";"sw1 port h2 (cliente) out";"sw1 port h3 (servidor) out"
"2019-01-23T01:46:00-05:00";58,792,721.865;30.346;58,792,757.865;-58,793,385.183;-267.26;-58,793,418.479
"2019-01-23T01:46:30-05:00";48,348,639.644;12.444;48,348,649.244;-48,348,700.622;-73.422;-48,348,710.222
