sep=;
"Time";"Eventos Packet In";"Eventos Packet In ignorados";"Mensajes FlowMod"
"2019-01-23T01:44:30-05:00";0;0;0
"2019-01-23T01:44:45-05:00";0;0;0
"2019-01-23T01:45:00-05:00";0;0;0
"2019-01-23T01:45:15-05:00";3;0;30
"2019-01-23T01:45:30-05:00";3;0;30
"2019-01-23T01:45:45-05:00";3;0;30
"2019-01-23T01:46:00-05:00";3;0;48
