sep=;
"Time";"faucet";"gauge"
"2019-01-23T01:44:30-05:00";0.077;0.036
"2019-01-23T01:45:00-05:00";0.156;0.044
"2019-01-23T01:45:30-05:00";0.267;0.133
"2019-01-23T01:46:00-05:00";0.2;0.089
