sep=;
"Time";"Host atacante";"Host cliente";"Host servidor"
"2019-01-23T01:44:30-05:00";null;null;null
"2019-01-23T01:45:00-05:00";null;null;null
"2019-01-23T01:45:30-05:00";157,278,980;656;157,279,250
"2019-01-23T01:46:00-05:00";429,240,078;726;429,240,402
"2019-01-23T01:46:30-05:00";429,240,078;726;429,240,402
