sep=;
"Time";"192.168.1.3:9302";"192.168.1.3:9303"
"2019-01-23T01:44:00-05:00";null;null
"2019-01-23T01:44:30-05:00";11;11
"2019-01-23T01:45:00-05:00";11;11
"2019-01-23T01:45:30-05:00";12;12
"2019-01-23T01:46:00-05:00";11;11
"2019-01-23T01:46:30-05:00";11;11
