sep=;
"Time";"192.168.1.3:9302";"192.168.1.3:9303"
"2019-01-23T01:44:00-05:00";null;null
"2019-01-23T01:44:30-05:00";0.077;0.036
"2019-01-23T01:45:00-05:00";0.156;0.044
"2019-01-23T01:45:30-05:00";0.267;0.133
"2019-01-23T01:46:00-05:00";0.2;0.089
"2019-01-23T01:46:30-05:00";0.267;0.111
