sep=;
"Time";"sw1 port h1 (atacante) in";"sw1 port h2 (cliente) in";"sw1 port h3 (servidor) in";"sw1 port h1 (atacante) out";"sw1 port h2 (cliente) out";"sw1 port h3 (servidor) out"
"2019-01-23T01:46:00-05:00";136,094.203;0.054;136,094.287;-136,094.866;-0.298;-136,094.943
"2019-01-23T01:46:30-05:00";111,918.156;0.022;111,918.178;-111,918.222;-0.089;-111,918.244
